"","Title","Year","Age","IMDb","Rotten_Tomatoes","Streamings","Genre"
"89","Once Upon a Time",2011,"7+",7.7,80,"Netflix","International TV Shows, Romantic TV Shows, TV Dramas"
"90","Gomorrah",2014,"18+",8.7,94,"Netflix","Crime TV Shows, International TV Shows, TV Dramas"
"91","Making a Murderer",2015,"16+",8.6,84,"Netflix","Crime TV Shows, Docuseries"
"92","Death Note",2006,"18+",9,NA,"Netflix","Horror Movies, Thrillers"
"93","Castlevania",2017,"18+",8.2,93,"Netflix","Anime Series, TV Horror, TV Thrillers"
"94","Riverdale",2017,"16+",7,86,"Netflix","Crime TV Shows, TV Dramas, TV Mysteries"
"95","Burn Notice",2007,"7+",7.9,88,"Netflix, Prime",NA
"96","Fauda",2015,"16+",8.3,100,"Netflix","Crime TV Shows, International TV Shows, TV Action & Adventure"
"97","Russian Doll",2019,"18+",7.9,96,"Netflix","TV Comedies, TV Dramas"
"98","Our Planet",2019,"7+",9.3,93,"Netflix","Docuseries, Science & Nature TV"
"99","Big Mouth",2017,"18+",8,100,"Netflix","TV Comedies"
"100","American Horror Story",2011,"18+",8,NA,"Netflix, Prime","TV Horror, TV Mysteries, TV Thrillers"
"101","Gotham",2014,"16+",7.8,77,"Netflix","Crime TV Shows, TV Action & Adventure, TV Dramas"
"102","I Am Not Okay with This",2020,"18+",7.6,85,"Netflix",NA
"103","Criminal Minds",2005,"16+",8.1,NA,"Netflix","Crime TV Shows, TV Dramas, TV Mysteries"
"104","The Vietnam War",2017,"18+",9.1,98,"Netflix",NA
"105","Waco",2018,"18+",7.9,68,"Netflix",NA
"106","Star Trek",1966,"7+",8.3,80,"Netflix, Prime","Classic & Cult TV, TV Action & Adventure, TV Sci-Fi & Fantasy"
"107","The OA",2016,"16+",7.9,84,"Netflix","TV Dramas, TV Mysteries, TV Sci-Fi & Fantasy"
"108","Outer Banks",2020,"18+",7.6,72,"Netflix","TV Action & Adventure, TV Dramas, Teen TV Shows"
"109","The Midnight Gospel",2020,"18+",8.4,90,"Netflix","TV Comedies"
"110","Good Girls",2018,"16+",7.9,87,"Netflix","Crime TV Shows, TV Comedies, TV Dramas"
"111","Chilling Adventures of Sabrina",2018,"16+",7.6,84,"Netflix","TV Horror, TV Mysteries, TV Sci-Fi & Fantasy"
"112","Doctor Foster",2015,"16+",7.7,85,"Netflix","British TV Shows, International TV Shows, Romantic TV Shows"
"113","Gilmore Girls",2000,"16+",8.1,85,"Netflix","Romantic TV Shows, TV Comedies, TV Dramas"
"114","iZombie",2015,"16+",7.9,91,"Netflix",NA
"115","Anne with an E",2017,"7+",8.6,62,"Netflix","International TV Shows, TV Dramas, Teen TV Shows"
"116","A Series of Unfortunate Events",2017,"7+",7.8,96,"Netflix","Kids' TV, TV Action & Adventure, TV Comedies"
"117","Neon Genesis Evangelion",1995,"16+",8.5,100,"Netflix","Anime Series, International TV Shows"
"118","Into the Badlands",2015,"16+",8,83,"Netflix","TV Action & Adventure"
"119","Into the Badlands",2015,"16+",8,83,"Netflix","Drama, Action, Sci-fi"
"120","Monty Python's Flying Circus",1969,"16+",8.8,100,"Netflix","British TV Shows, Classic & Cult TV, International TV Shows"
"121","Jane the Virgin",2014,"7+",7.8,100,"Netflix",NA
"122","Halt and Catch Fire",2014,"16+",8.4,90,"Netflix","TV Dramas"
"123","Grace and Frankie",2015,"7+",8.3,89,"Netflix","TV Comedies, TV Dramas"
"124","NCIS",2003,"16+",7.8,40,"Netflix","Crime TV Shows, TV Dramas, TV Mysteries"
"125","NCIS",2003,"16+",7.8,40,"Netflix","Drama, Action"
"126","Weeds",2005,"18+",7.9,70,"Netflix","TV Comedies, TV Dramas"
"127","GLOW",2017,"18+",8,93,"Netflix","TV Comedies, TV Dramas"
"128","Person of Interest",2011,"16+",8.4,NA,"Netflix","Crime TV Shows, TV Action & Adventure, TV Dramas"
"129","Person of Interest",2011,"16+",8.4,NA,"Netflix","Drama, Action, Suspense"
"130","13 Reasons Why",2017,"18+",7.8,39,"Netflix","Crime TV Shows, TV Dramas, TV Mysteries"
"131","Godless",2017,"16+",8.3,85,"Netflix","TV Dramas"
"132","Locked Up",2015,"16+",8.3,100,"Netflix","Crime TV Shows, International TV Shows, Spanish-Language TV Shows"
"133","Mushi-Shi",2005,"16+",8.5,100,"Netflix, Prime",NA
"134","Gossip Girl",2008,"16+",7.4,84,"Netflix","TV Dramas, Teen TV Shows"
"135","Unbreakable Kimmy Schmidt",2015,"16+",7.6,96,"Netflix","TV Comedies"
"136","Lost in Space",2018,"7+",7.3,75,"Netflix","TV Action & Adventure, TV Dramas, TV Sci-Fi & Fantasy"
"137","Scandal",2012,"16+",7.7,93,"Netflix","Crime TV Shows, TV Dramas"
"138","Hunter x Hunter",2011,"16+",8.9,NA,"Netflix",NA
"139","One Day at a Time",2017,"7+",8.2,99,"Netflix","TV Comedies"
"140","DC's Legends of Tomorrow",2016,"16+",6.8,87,"Netflix","TV Action & Adventure, TV Sci-Fi & Fantasy"
"141","Manhunt",2017,"16+",8.1,93,"Netflix","Action & Adventure, International Movies"
"142","Naruto",2002,"7+",8.3,NA,"Netflix","Anime Series, International TV Shows"
"143","Charmed",1998,"16+",7.1,75,"Netflix","TV Dramas, TV Sci-Fi & Fantasy"
"144","The Dragon Prince",2018,"7+",8.4,100,"Netflix","Kids' TV, TV Action & Adventure, TV Sci-Fi & Fantasy"
"145","Locke & Key",2020,"16+",7.4,67,"Netflix","TV Action & Adventure, TV Dramas, TV Mysteries"
"146","Alias Grace",2017,"18+",7.8,99,"Netflix","Crime TV Shows, International TV Shows, TV Dramas"
"147","American Vandal",2017,"16+",8.2,97,"Netflix","Crime TV Shows, TV Comedies, Teen TV Shows"
"148","Santa Clarita Diet",2017,"18+",7.8,89,"Netflix","TV Comedies, TV Horror, TV Thrillers"
"149","Maniac",2018,"16+",7.8,85,"Netflix","TV Comedies, TV Dramas, TV Mysteries"
"150","Star Trek: Deep Space Nine",1993,"7+",7.9,90,"Netflix, Prime","TV Action & Adventure, TV Sci-Fi & Fantasy"
"151","The Dark Crystal: Age of Resistance",2019,"7+",8.5,87,"Netflix","TV Action & Adventure, TV Dramas, TV Sci-Fi & Fantasy"
"152","Colony",2016,"16+",7.4,92,"Netflix","TV Action & Adventure, TV Dramas, TV Sci-Fi & Fantasy"
"153","Wild Wild Country",2018,"16+",8.2,98,"Netflix","Crime TV Shows, Docuseries"
"154","Rectify",2013,"16+",8.3,95,"Netflix","Crime TV Shows, TV Dramas, TV Mysteries"
"155","Pose",2018,"16+",8.6,96,"Netflix","TV Dramas"
"156","Marvel's Luke Cage",2016,"18+",7.3,87,"Netflix","Crime TV Shows, TV Action & Adventure, TV Dramas"
"157","Hollywood",2020,"18+",7.7,57,"Netflix","TV Dramas"
"158","Derry Girls",2018,"16+",8.4,97,"Netflix","British TV Shows, International TV Shows, TV Comedies"
"159","Dark Matter",2015,"18+",7.5,89,"Netflix","TV Sci-Fi & Fantasy, TV Thrillers"
"160","On My Block",2018,"16+",8.1,97,"Netflix","Romantic TV Shows, TV Comedies, TV Dramas"
"161","Law & Order: Special Victims Unit",1999,"16+",8,NA,"Netflix, Prime",NA
"162","Longmire",2012,"16+",8.3,88,"Netflix","Crime TV Shows, TV Dramas"
"163","The Tudors",2007,"18+",8.1,69,"Netflix","TV Dramas"
"164","HAPPY!",2017,"18+",8.2,84,"Netflix",NA
"165","The Stranger",2020,"16+",7.3,89,"Netflix",NA
"166","Call the Midwife",2012,"7+",8.4,89,"Netflix","British TV Shows, International TV Shows, TV Dramas"
"167","Into the Night",2020,"18+",7.2,83,"Netflix","International TV Shows, TV Dramas, TV Mysteries"
"168","Mystery Science Theater 3000",1988,"7+",8.5,80,"Netflix","TV Comedies, TV Sci-Fi & Fantasy"
"169","Resurrection: Ertugrul",2014,"16+",7.7,NA,"Netflix","International TV Shows, TV Action & Adventure, TV Dramas"
"170","The Inbetweeners",2008,"18+",8.4,54,"Netflix","British TV Shows, TV Comedies"
"171","Reign",2013,"16+",7.5,86,"Netflix","TV Dramas"
"172","Reign",2013,"16+",7.5,86,"Netflix","Drama"
"173","Extras",2005,"16+",8.3,89,"Netflix, Prime","British TV Shows, TV Comedies"
"174","The Kominsky Method",2018,"18+",8.2,90,"Netflix","TV Comedies, TV Dramas"
"175","The 4400",2004,"7+",7.3,95,"Netflix","TV Dramas, TV Mysteries, TV Sci-Fi & Fantasy"
"176","The Borgias",2011,"18+",7.9,85,"Netflix","TV Dramas"
"177","Marco Polo",2014,"18+",8,67,"Netflix","TV Action & Adventure, TV Dramas"
"178","Queer Eye",2018,"16+",8.5,91,"Netflix","Reality TV"
"179","The Spy",2019,"18+",7.9,86,"Netflix","International TV Shows, TV Dramas, TV Thrillers"
"180","Love",2016,"18+",7.7,94,"Netflix","Romantic TV Shows, TV Comedies, TV Dramas"
"181","Designated Survivor",2016,"7+",7.5,71,"Netflix","Crime TV Shows, TV Dramas, TV Thrillers"
"182","Ripper Street",2012,"18+",8.1,100,"Netflix","British TV Shows, Crime TV Shows, TV Dramas"
"183","Feel Good",2020,NA,7.5,100,"Netflix","Romantic TV Shows, TV Comedies, TV Dramas"
"184","Hell on Wheels",2011,"16+",8.3,72,"Netflix","Crime TV Shows, TV Action & Adventure"
"185","The Fosters",2013,"16+",7.9,97,"Netflix","TV Dramas"
"186","Hawaii Five-0",2010,"16+",7.3,82,"Netflix",NA
"187","Marvel's The Defenders",2017,"18+",7.3,78,"Netflix","Crime TV Shows, TV Action & Adventure, TV Dramas"
"188","Allo 'Allo!",1984,"7+",8.3,NA,"Netflix",NA
"189","Supergirl",2015,"7+",6.3,88,"Netflix","TV Action & Adventure, TV Sci-Fi & Fantasy"
"190","Star Trek: Voyager",1995,"7+",7.8,77,"Netflix, Prime","TV Action & Adventure, TV Sci-Fi & Fantasy"
"191","Limitless",2015,"16+",7.7,57,"Netflix","Documentaries, International Movies, Sports Movies"
"192","Messiah",2020,"18+",7.7,44,"Netflix","TV Dramas, TV Thrillers"
"193","The Shannara Chronicles",2016,"16+",7.2,77,"Netflix","TV Action & Adventure, TV Dramas, TV Sci-Fi & Fantasy"
"194","Crash Landing on You",2019,"16+",8.8,NA,"Netflix","International TV Shows, Korean TV Shows, Romantic TV Shows"
"195","Bleach",2004,"18+",8.1,NA,"Netflix","Anime Series, International TV Shows"
"196","Top Boy",2011,"18+",8.4,95,"Netflix","British TV Shows, Crime TV Shows, International TV Shows"
"197","Jonathan Strange & Mr Norrell",2015,"16+",8.2,91,"Netflix","British TV Shows, TV Dramas, TV Sci-Fi & Fantasy"
"198","Haven",2010,"16+",7.5,63,"Netflix","Classic & Cult TV, TV Horror, TV Mysteries"
